PSN|EMAIL|PARTNER_ID
V2DUVRCB|nnr3456r@gmail.com|1
V2DUVRCB|nnr3456r@gmail.com|1
YOI8Y08G|nnr3456r@gmail.com|2
MH6AEY9D|nnr3456r@gmail.com|1
WT13IFGT|afp2k2jy@outlook.com|7
WT13IFGT|xqeg921d@hotmail.com|7
WT13IFGT|qdemtdpj@hotmail.com|7
NTMOU5PE|nnr3456r@gmail.com|3
NTMOU5PE|kqj1xa4c@gmail.com|3
D0KUPSR1|xqeg921d@hotmail.com|5
MSFVQ56Y|xqeg921d@hotmail.com|2
J6F916QD|kqj1xa4c@gmail.com|5
J6F916QD|nnr3456r@gmail.com|5
J6F916QD|xqeg921d@hotmail.com|5
5YMEKG07|kqj1xa4c@gmail.com|1
Z90TIX31|9dav1aqv@gmail.com|3
Z90TIX31|nnr3456r@gmail.com|3
2IVP4KY0|xqeg921d@hotmail.com|1
2IVP4KY0|xqeg921d@hotmail.com|1
06V187YT|9qlyq42p@yahoo.com|5
06V187YT|p28uc8zm@example.com|5
06V187YT|nnr3456r@gmail.com|5
C8MJJ2LO|r5itrdy8@gmail.com|4
FBFRYULD|vq5nw9ns@example.com|2
FBFRYULD|nnr3456r@gmail.com|2
ZHVW4L6O|9dav1aqv@gmail.com|2
ZHVW4L6O|kqj1xa4c@gmail.com|2
9K4AVQOG|kqj1xa4c@gmail.com|1
PWVWZON6|9dav1aqv@gmail.com|3
PWVWZON6|nnr3456r@gmail.com|3
PWVWZON6|xqeg921d@hotmail.com|3
V3SCZZ5V|66830mb2@gmail.com|9
V3SCZZ5V|62dxlid1@yahoo.com|9
V3SCZZ5V|mxjgazsf@outlook.com|9
V3SCZZ5V|9dav1aqv@gmail.com|9
V3SCZZ5V|eh19l2nr@hotmail.com|9
MEUFG752|495xjrko@outlook.com|5
MEUFG752|9qlyq42p@yahoo.com|5
MEUFG752|nnr3456r@gmail.com|5
MEUFG752|mxjgazsf@outlook.com|5
9MHNFFXV|9dav1aqv@gmail.com|7
3BEJRN1A|eh19l2nr@hotmail.com|1
690YBCPS|8sgng8i1@gmail.com|9
690YBCPS|aqwggdb3@yahoo.com|9
6H38RI4H|7c8mk96c@example.com|3
6H38RI4H|8sgng8i1@gmail.com|3
5CIX0NQM|xqeg921d@hotmail.com|2
T6MEXJH8|5eshrm6s@outlook.com|4
UZYUN28C|kqj1xa4c@gmail.com|6
UZYUN28C|rg552l4e@gmail.com|6
UZYUN28C|l9l0wmh0@example.com|6
UZYUN28C|sutgr4tw@hotmail.com|6
9MBNJSZT|nnr3456r@gmail.com|4
9MBNJSZT|xqeg921d@hotmail.com|4
9MBNJSZT|kqj1xa4c@gmail.com|4
HMS2IWTE|rg552l4e@gmail.com|1
EITPP5LX|tpvyzolk@outlook.com|9
EITPP5LX|hybht9qx@hotmail.com|9
NRLX4IPO|awlcl1e0@outlook.com|8
NRLX4IPO|rryk34oi@example.com|8
00XW6WQS|nnr3456r@gmail.com|7
HUKXPK9K|zlmqqp2j@example.com|9
HUKXPK9K|bh61dlzh@example.com|9
VMIMNNN1|0aabdt9h@example.com|3
VMIMNNN1|f1tgh8he@yahoo.com|3
VMIMNNN1|7c8mk96c@example.com|3
4QGWQHIJ|vq5nw9ns@example.com|4
KOM1LKFC|nmw4wrgp@example.com|2
KOM1LKFC|6it6q8wl@yahoo.com|2
2OOW7WQR|pv662z2f@outlook.com|6
2OOW7WQR|495xjrko@outlook.com|6
2OOW7WQR|495xjrko@outlook.com|6
2OOW7WQR|tucp83m6@gmail.com|6
VTO5I8FV|j88y9scg@gmail.com|9
VTO5I8FV|tof6g0ji@yahoo.com|9
VTO5I8FV|j3oml6ff@yahoo.com|9
VTO5I8FV|fkwyrxpg@yahoo.com|9
OFMXWFY4|495xjrko@outlook.com|1
OFMXWFY4|p28uc8zm@example.com|1
TZVQSLW9|kqj1xa4c@gmail.com|2
TZVQSLW9|nnr3456r@gmail.com|2
MY9N4ECL|9un43273@gmail.com|8
MY9N4ECL|5184mawf@hotmail.com|8
MY9N4ECL|efmfawmh@yahoo.com|8
MY9N4ECL|zrm1c0t1@yahoo.com|8
5H8ZIAET|vq5nw9ns@example.com|1
EU87URG7|le0na9ao@hotmail.com|7
EU87URG7|vijt2idp@gmail.com|7
EU87URG7|ywhcpzul@gmail.com|7
EU87URG7|2z71rx4r@hotmail.com|7
EU87URG7|gu7suz0q@outlook.com|7
E1PMABBF|30ff93i1@outlook.com|10
E1PMABBF|k4xwzyuw@example.com|10
E1PMABBF|fkli01ug@hotmail.com|10
E1PMABBF|iwujm3za@gmail.com|10
E1PMABBF|3v9ybi9t@outlook.com|10
JXRY2JDZ|fkwyrxpg@yahoo.com|2
JXRY2JDZ|xizhffmx@outlook.com|2
J3V2E8VU|83kypsvo@outlook.com|4
J3V2E8VU|5184mawf@hotmail.com|4
4W55H6DU|6dbf6yi2@hotmail.com|8
4W55H6DU|m8s7454m@gmail.com|8
4W55H6DU|cuywy417@gmail.com|8
4W55H6DU|l3qekwqg@outlook.com|8
LJZ0V7GZ|u8o2xw5k@hotmail.com|7
LJZ0V7GZ|fg7ekqqb@example.com|7
JLG5AJ1W|q6gxfmw1@hotmail.com|4
N87TE26D|i597vdnv@outlook.com|5
N87TE26D|meg9f2so@example.com|5
N87TE26D|2a82rn32@yahoo.com|5
N87TE26D|goiykkh9@gmail.com|5
97TERLLT|j2pk8iq5@gmail.com|6
97TERLLT|meg9f2so@example.com|6
97TERLLT|1tt8fdr8@yahoo.com|6
YILE4JPT|ndckrmm7@outlook.com|2
0IA9OT6J|ji3sbja7@gmail.com|4
6VBO9FOH|vijt2idp@gmail.com|2
ZJ1Q4OZW|8sgng8i1@gmail.com|1
ZJ1Q4OZW|goiykkh9@gmail.com|1
09HQ0H1P|l44h7fly@hotmail.com|6
5LLV0MQI|rg552l4e@gmail.com|4
5LLV0MQI|farbsra9@outlook.com|4
5LLV0MQI|otb65caa@yahoo.com|4
UHGIOR4D|4nd3srb4@example.com|6
EIFNK1VZ|meg9f2so@example.com|1
SRW99YYO|i125h3ww@yahoo.com|8
SRW99YYO|asadf7vg@hotmail.com|8
SRW99YYO|otb65caa@yahoo.com|8
SRW99YYO|0r9nvyp4@outlook.com|8
4HIFUJT3|4rloyn5i@outlook.com|8
JNIJQ0IU|haere0th@outlook.com|6
ULX0I85J|4rloyn5i@outlook.com|1
8DKCWHUM|7c8mk96c@example.com|1
8DKCWHUM|ji3sbja7@gmail.com|1
2HXSKYOI|n3isa2ak@gmail.com|1
PFO6WQX6|ji3sbja7@gmail.com|2
PFO6WQX6|tpvyzolk@outlook.com|2
913MEV0P|9un43273@gmail.com|8
913MEV0P|mxjgazsf@outlook.com|8
