PSN|EMAIL|PARTNER_ID
AJ32RS4Y|o8167rnj@marketplace.amazon.com|1
I6AIPX4W|o8167rnj@marketplace.amazon.com|1
I6AIPX4W|o8167rnj@marketplace.amazon.com|1
BL5GL437|o8167rnj@marketplace.amazon.com|1
16PKPIBW|o8167rnj@marketplace.amazon.com|1
F3T5ZZ23|o8167rnj@marketplace.amazon.com|1
Q9LASL5H|o8167rnj@marketplace.amazon.com|1
9D279PVE|o8167rnj@marketplace.amazon.com|1
9D279PVE|o8167rnj@marketplace.amazon.com|1
ZAAPLG37|o8167rnj@marketplace.amazon.com|1
ZAAPLG37|o8167rnj@marketplace.amazon.com|1
Z8WVNT81|o8167rnj@marketplace.amazon.com|2
Z8WVNT81|xrup751q@gmail.com|2
1AC4U3FQ|o8167rnj@marketplace.amazon.com|2
1AC4U3FQ|o8167rnj@marketplace.amazon.com|2
CBG2MIFM|xrup751q@gmail.com|2
CBG2MIFM|xrup751q@gmail.com|2
UAS8JL9U|kgdbxln9@yahoo.com|2
13Q6OM3G|xrup751q@gmail.com|2
13Q6OM3G|xrup751q@gmail.com|2
37HTUZLI|dyk1zp42@hotmail.com|2
8SER6ZUE|xrup751q@gmail.com|2
8SER6ZUE|dyk1zp42@hotmail.com|2
FK41XB76|8t57g89n@msn.com|3
FK41XB76|o8167rnj@marketplace.amazon.com|3
Z1S1SMF5|kgdbxln9@yahoo.com|3
QNNZLPQ8|dyk1zp42@hotmail.com|3
QNNZLPQ8|kgdbxln9@yahoo.com|3
QNNZLPQ8|o8167rnj@marketplace.amazon.com|3
8X7R04CI|o8167rnj@marketplace.amazon.com|3
TBINH2FN|o8167rnj@marketplace.amazon.com|3
TBINH2FN|dyk1zp42@hotmail.com|3
BK3W0OC8|0n0pcgnm@gmail.com|3
BK3W0OC8|o8167rnj@marketplace.amazon.com|3
NQSOE8T4|atwoq5nn@hotmail.com|3
NQSOE8T4|kgdbxln9@yahoo.com|3
8K9MA9HZ|xrup751q@gmail.com|4
JAVQF8CM|dh6heil9@yahoo.com|4
JAVQF8CM|8t57g89n@msn.com|4
JAVQF8CM|m157dqzk@gmail.com|4
CVG1TAU6|dyk1zp42@hotmail.com|4
CVG1TAU6|m157dqzk@gmail.com|4
OGXT9ZK6|0n0pcgnm@gmail.com|4
MOO1BZMK|m157dqzk@gmail.com|4
MOO1BZMK|dh6heil9@yahoo.com|4
MXUCTLDO|dh6heil9@yahoo.com|5
WQJKW2G6|kgdbxln9@yahoo.com|5
01X3SMWO|rt31acr1@gmail.com|5
01X3SMWO|kgdbxln9@yahoo.com|5
01X3SMWO|dyk1zp42@hotmail.com|5
