PSN|EMAIL|VENDOR_ID
HA88CEHT|hilzdefe@aol.com|1
HA88CEHT|hilzdefe@aol.com|1
XSYQ6OLM|hilzdefe@aol.com|1
XSYQ6OLM|hilzdefe@aol.com|1
7NUKZ8XR|hilzdefe@aol.com|1
T411PJVW|rp47um8m@gmail.com|1
I4VZZC94|rp47um8m@gmail.com|1
0MKOJ1KI|rp47um8m@gmail.com|1
0MKOJ1KI|hilzdefe@aol.com|1
V4NCUX1J|hilzdefe@aol.com|1
V4NCUX1J|hilzdefe@aol.com|1
OBR9Q808|hilzdefe@aol.com|2
0HAS4AVH|rp47um8m@gmail.com|2
0HAS4AVH|hilzdefe@aol.com|2
9HLDIH3F|rp47um8m@gmail.com|2
PK55NS0M|rp47um8m@gmail.com|2
AF1IQRSG|rp47um8m@gmail.com|2
AF1IQRSG|rp47um8m@gmail.com|2
2E1W5SWW|hilzdefe@aol.com|2
IRB2VQWE|l9szm5kb@gmail.com|2
J8V5EC85|cnyudmtd@hotmail.com|3
J8V5EC85|rp47um8m@gmail.com|3
9V5DTCOV|h23wnm4x@gmail.com|3
RR8OS7XS|rp47um8m@gmail.com|3
RR8OS7XS|l9szm5kb@gmail.com|3
RR8OS7XS|331irq5k@aol.com|3
G3PKHVUM|h23wnm4x@gmail.com|3
G3PKHVUM|rp47um8m@gmail.com|3
G0GKKDQV|h23wnm4x@gmail.com|3
1D2GD2OT|guzu6tcn@aol.com|3
XO6YCRXC|hilzdefe@aol.com|3
XO6YCRXC|331irq5k@aol.com|3
XO6YCRXC|hilzdefe@aol.com|3
QBFB27CC|cnyudmtd@hotmail.com|4
QBFB27CC|331irq5k@aol.com|4
NC68VY88|331irq5k@aol.com|4
I3GEKX9T|6kuzd6ww@aol.com|4
I3GEKX9T|guzu6tcn@aol.com|4
I3GEKX9T|l9szm5kb@gmail.com|4
TW7XR3WP|h23wnm4x@gmail.com|4
TW7XR3WP|cnyudmtd@hotmail.com|4
TW7XR3WP|l9szm5kb@gmail.com|4
6T5NJPPM|h23wnm4x@gmail.com|4
6T5NJPPM|xypqz0po@gmail.com|4
BPUFSVEO|h23wnm4x@gmail.com|5
Y323DXYK|cnyudmtd@hotmail.com|5
Y323DXYK|guzu6tcn@aol.com|5
EL1R6SUK|6kuzd6ww@aol.com|5
WZMJ1RW8|l9szm5kb@gmail.com|5
WZMJ1RW8|guzu6tcn@aol.com|5
